"","Mandate","date","mean","lower","upper","county","fips","state_mandate","country_code","admin_level","admin1","admin2","samples","m50","m50_index"
"1","Mask-mandated Counties",2020-03-09,1.63640366249632,1.05899416920603,2.33744537962075,"Johnson County",20091,0,"US",2,"Kansas","Johnson County",17426,7.47,89
"2","Mask-mandated Counties",2020-03-10,1.41943023565036,0.918580407511065,2.02751968970394,"Johnson County",20091,0,"US",2,"Kansas","Johnson County",17267,8.184,97
"3","Mask-mandated Counties",2020-03-11,1.31614849302777,0.85174190932785,1.87999164535571,"Johnson County",20091,0,"US",2,"Kansas","Johnson County",17029,8.561,102
"4","Mask-mandated Counties",2020-03-12,1.09733334571117,0.687692965565912,1.60114555714313,"Johnson County",20091,0,"US",2,"Kansas","Johnson County",17190,8.266,98
"5","Mask-mandated Counties",2020-03-13,1.21810091234308,0.699360768718478,1.88150334684858,"Johnson County",20091,0,"US",2,"Kansas","Johnson County",16435,8.619,102
"6","Mask-mandated Counties",2020-03-13,1.21810091234308,0.699360768718478,1.88150334684858,"Wyandotte County",20209,0,"US",2,"Kansas","Wyandotte County",2758,11.096,88
"7","Mask-mandated Counties",2020-03-14,0.881482989797614,0.475099234580966,1.42611449189105,"Johnson County",20091,0,"US",2,"Kansas","Johnson County",15420,5.032,60
"8","Mask-mandated Counties",2020-03-14,0.881482989797614,0.475099234580966,1.42611449189105,"Wyandotte County",20209,0,"US",2,"Kansas","Wyandotte County",2629,7.167,56
"9","Mask-mandated Counties",2020-03-15,0.482770513236952,0.184699944252545,0.922871627011687,"Johnson County",20091,0,"US",2,"Kansas","Johnson County",14828,2.944,35
"10","Mask-mandated Counties",2020-03-15,0.482770513236952,0.184699944252545,0.922871627011687,"Wyandotte County",20209,0,"US",2,"Kansas","Wyandotte County",2576,4.17,33
"11","Mask-mandated Counties",2020-03-16,0.617852765984362,0.357592506322974,0.986086388036426,"Franklin County",20059,0,"US",2,"Kansas","Franklin County",575,11.052,80
"12","Mask-mandated Counties",2020-03-16,0.617852765984362,0.357592506322974,0.986086388036426,"Johnson County",20091,0,"US",2,"Kansas","Johnson County",14872,5.568,66
"13","Mask-mandated Counties",2020-03-16,0.617852765984362,0.357592506322974,0.986086388036426,"Wyandotte County",20209,0,"US",2,"Kansas","Wyandotte County",2610,8.15,64
"14","Mask-mandated Counties",2020-03-17,0.672227621798105,0.354876353157978,1.11132836324291,"Franklin County",20059,0,"US",2,"Kansas","Franklin County",562,6.89,49
"15","Mask-mandated Counties",2020-03-17,0.672227621798105,0.354876353157978,1.11132836324291,"Johnson County",20091,0,"US",2,"Kansas","Johnson County",15280,4.418,52
"16","Mask-mandated Counties",2020-03-17,0.672227621798105,0.354876353157978,1.11132836324291,"Wyandotte County",20209,0,"US",2,"Kansas","Wyandotte County",2743,7.588,60
"17","Mask-mandated Counties",2020-03-18,0.848324015993945,0.518382202859749,1.281719114687,"Douglas County",20045,0,"US",2,"Kansas","Douglas County",1821,3.025,70
"18","Mask-mandated Counties",2020-03-18,0.848324015993945,0.518382202859749,1.281719114687,"Franklin County",20059,0,"US",2,"Kansas","Franklin County",558,4.99,36
"19","Mask-mandated Counties",2020-03-18,0.848324015993945,0.518382202859749,1.281719114687,"Johnson County",20091,0,"US",2,"Kansas","Johnson County",14994,3.294,39
"20","Mask-mandated Counties",2020-03-18,0.848324015993945,0.518382202859749,1.281719114687,"Wyandotte County",20209,0,"US",2,"Kansas","Wyandotte County",2677,5.497,43
"21","Mask-mandated Counties",2020-03-19,0.756561806357977,0.433247090848323,1.18511410066682,"Douglas County",20045,0,"US",2,"Kansas","Douglas County",1862,2.59,60
"22","Mask-mandated Counties",2020-03-19,0.756561806357977,0.433247090848323,1.18511410066682,"Franklin County",20059,0,"US",2,"Kansas","Franklin County",576,4.712,34
"23","Mask-mandated Counties",2020-03-19,0.756561806357977,0.433247090848323,1.18511410066682,"Johnson County",20091,0,"US",2,"Kansas","Johnson County",15244,3.184,38
"24","Mask-mandated Counties",2020-03-19,0.756561806357977,0.433247090848323,1.18511410066682,"Wyandotte County",20209,0,"US",2,"Kansas","Wyandotte County",2673,5.512,43
"25","Mask-mandated Counties",2020-03-20,0.94130670562941,0.612234542880541,1.35823808216135,"Douglas County",20045,0,"US",2,"Kansas","Douglas County",1690,2.963,69
"26","Mask-mandated Counties",2020-03-20,0.94130670562941,0.612234542880541,1.35823808216135,"Franklin County",20059,0,"US",2,"Kansas","Franklin County",556,5.412,39
"27","Mask-mandated Counties",2020-03-20,0.94130670562941,0.612234542880541,1.35823808216135,"Johnson County",20091,0,"US",2,"Kansas","Johnson County",13802,4.041,48
"28","Mask-mandated Counties",2020-03-20,0.94130670562941,0.612234542880541,1.35823808216135,"Wyandotte County",20209,0,"US",2,"Kansas","Wyandotte County",2490,6.685,53
"29","Mask-mandated Counties",2020-03-21,0.815386373350008,0.499513422906769,1.21291401806477,"Douglas County",20045,0,"US",2,"Kansas","Douglas County",1486,1.027,24
"30","Mask-mandated Counties",2020-03-21,0.815386373350008,0.499513422906769,1.21291401806477,"Franklin County",20059,0,"US",2,"Kansas","Franklin County",511,2.704,19
"31","Mask-mandated Counties",2020-03-21,0.815386373350008,0.499513422906769,1.21291401806477,"Johnson County",20091,0,"US",2,"Kansas","Johnson County",11992,1.812,21
"32","Mask-mandated Counties",2020-03-21,0.815386373350008,0.499513422906769,1.21291401806477,"Sedgwick County",20173,0,"US",2,"Kansas","Sedgwick County",8067,2.174,27
"33","Mask-mandated Counties",2020-03-21,0.815386373350008,0.499513422906769,1.21291401806477,"Wyandotte County",20209,0,"US",2,"Kansas","Wyandotte County",2162,2.952,23
"34","Mask-mandated Counties",2020-03-22,0.734839329322761,0.463940620440259,1.08580344725969,"Douglas County",20045,0,"US",2,"Kansas","Douglas County",1644,0.156,3
"35","Mask-mandated Counties",2020-03-22,0.734839329322761,0.463940620440259,1.08580344725969,"Franklin County",20059,0,"US",2,"Kansas","Franklin County",535,0.877,6
"36","Mask-mandated Counties",2020-03-22,0.734839329322761,0.463940620440259,1.08580344725969,"Johnson County",20091,0,"US",2,"Kansas","Johnson County",13896,0.732,8
"37","Mask-mandated Counties",2020-03-22,0.734839329322761,0.463940620440259,1.08580344725969,"Reno County",20155,0,"US",2,"Kansas","Reno County",1170,1.149,23
"38","Mask-mandated Counties",2020-03-22,0.734839329322761,0.463940620440259,1.08580344725969,"Sedgwick County",20173,0,"US",2,"Kansas","Sedgwick County",8751,0.523,6
"39","Mask-mandated Counties",2020-03-22,0.734839329322761,0.463940620440259,1.08580344725969,"Wyandotte County",20209,0,"US",2,"Kansas","Wyandotte County",2439,1.215,9
"40","Mask-mandated Counties",2020-03-23,0.677745369802401,0.407177814165631,1.02987783469115,"Douglas County",20045,0,"US",2,"Kansas","Douglas County",1822,2.609,61
"41","Mask-mandated Counties",2020-03-23,0.677745369802401,0.407177814165631,1.02987783469115,"Franklin County",20059,0,"US",2,"Kansas","Franklin County",593,4.974,36
"42","Mask-mandated Counties",2020-03-23,0.677745369802401,0.407177814165631,1.02987783469115,"Johnson County",20091,0,"US",2,"Kansas","Johnson County",15799,2.728,32
"43","Mask-mandated Counties",2020-03-23,0.677745369802401,0.407177814165631,1.02987783469115,"Mitchell County",20123,0,"US",2,"Kansas","Mitchell County",110,1.23,60
"44","Mask-mandated Counties",2020-03-23,0.677745369802401,0.407177814165631,1.02987783469115,"Morris County",20127,0,"US",2,"Kansas","Morris County",111,1.231,7
"45","Mask-mandated Counties",2020-03-23,0.677745369802401,0.407177814165631,1.02987783469115,"Reno County",20155,0,"US",2,"Kansas","Reno County",1275,3.568,73
"46","Mask-mandated Counties",2020-03-23,0.677745369802401,0.407177814165631,1.02987783469115,"Sedgwick County",20173,0,"US",2,"Kansas","Sedgwick County",9496,3.899,49
"47","Mask-mandated Counties",2020-03-23,0.677745369802401,0.407177814165631,1.02987783469115,"Wyandotte County",20209,0,"US",2,"Kansas","Wyandotte County",2728,5.053,40
"48","Mask-mandated Counties",2020-03-24,0.732365826598728,0.471380630456297,1.06901612038885,"Bourbon County",20011,0,"US",2,"Kansas","Bourbon County",376,2.432,48
"49","Mask-mandated Counties",2020-03-24,0.732365826598728,0.471380630456297,1.06901612038885,"Douglas County",20045,0,"US",2,"Kansas","Douglas County",1861,0.792,18
"50","Mask-mandated Counties",2020-03-24,0.732365826598728,0.471380630456297,1.06901612038885,"Franklin County",20059,0,"US",2,"Kansas","Franklin County",598,4.037,29
"51","Mask-mandated Counties",2020-03-24,0.732365826598728,0.471380630456297,1.06901612038885,"Johnson County",20091,0,"US",2,"Kansas","Johnson County",16183,0.323,3
"52","Mask-mandated Counties",2020-03-24,0.732365826598728,0.471380630456297,1.06901612038885,"Mitchell County",20123,0,"US",2,"Kansas","Mitchell County",102,1.366,67
"53","Mask-mandated Counties",2020-03-24,0.732365826598728,0.471380630456297,1.06901612038885,"Morris County",20127,0,"US",2,"Kansas","Morris County",101,1.174,6
"54","Mask-mandated Counties",2020-03-24,0.732365826598728,0.471380630456297,1.06901612038885,"Reno County",20155,0,"US",2,"Kansas","Reno County",1295,3.062,63
"55","Mask-mandated Counties",2020-03-24,0.732365826598728,0.471380630456297,1.06901612038885,"Sedgwick County",20173,0,"US",2,"Kansas","Sedgwick County",9879,3.889,49
"56","Mask-mandated Counties",2020-03-24,0.732365826598728,0.471380630456297,1.06901612038885,"Wyandotte County",20209,0,"US",2,"Kansas","Wyandotte County",2772,0.834,6
"57","Mask-mandated Counties",2020-03-25,0.773703619611526,0.494211410359927,1.13092753740652,"Bourbon County",20011,0,"US",2,"Kansas","Bourbon County",369,3.074,61
"58","Mask-mandated Counties",2020-03-25,0.773703619611526,0.494211410359927,1.13092753740652,"Douglas County",20045,0,"US",2,"Kansas","Douglas County",1828,1.452,34
"59","Mask-mandated Counties",2020-03-25,0.773703619611526,0.494211410359927,1.13092753740652,"Franklin County",20059,0,"US",2,"Kansas","Franklin County",596,4.236,30
"60","Mask-mandated Counties",2020-03-25,0.773703619611526,0.494211410359927,1.13092753740652,"Johnson County",20091,0,"US",2,"Kansas","Johnson County",15549,1.061,12
"61","Mask-mandated Counties",2020-03-25,0.773703619611526,0.494211410359927,1.13092753740652,"Mitchell County",20123,0,"US",2,"Kansas","Mitchell County",108,1.707,84
"62","Mask-mandated Counties",2020-03-25,0.773703619611526,0.494211410359927,1.13092753740652,"Morris County",20127,0,"US",2,"Kansas","Morris County",109,1.655,9
